Series_Title,Genre,Director
Jab We Met,Comedy,Imtiaz Ali
Boyhood,Drama,Richard Linklater
Star Trek,Action,J.J. Abrams
In Bruges,Comedy,Martin McDonagh
The Man from Earth,Drama,Richard Schenkman
Letters from Iwo Jima,Action,Clint Eastwood
The Fall,Adventure,Tarsem Singh
Life of Pi,Adventure,Ang Lee
Fantastic Mr. Fox,Animation,Wes Anderson
Iron Man,Action,Jon Favreau
Shaun of the Dead,Comedy,Edgar Wright
